X18S_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
merged_18S_2093	Eukaryota	Arthropoda	Collembola	Poduromorpha	Tullbergiidae	Mesaphorura	
merged_18S_2121	Eukaryota	Arthropoda	Insecta	Hymenoptera	Formicidae	Formicidae	
merged_18S_2132	Eukaryota	Ciliophora	Colpodea	Cyrtolophosidida	Cyrtolophosididae	Pseudocyrtolophosis	
merged_18S_2150	Eukaryota	Ascomycota	Leotiomycetes	Leotiomycetes	Leotiomycetes	Leotiomycetes	
merged_18S_2157	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_2159	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	
merged_18S_2163	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2165	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudodictyosporium	
merged_18S_2191	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2198	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2199	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2208	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Lohmanniidae	Lohmanniidae	
merged_18S_2210	Eukaryota	Arthropoda	Arachnida	Araneae	Araneae	Araneae	
merged_18S_2218	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2223	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	
merged_18S_2234	Eukaryota	Cnidaria	Anthozoa	Corallimorpharia	Discosomidae	Rhodactis	
merged_18S_2254	Eukaryota	Cercozoa	Cercozoa	Cercozoa	Cercozoa	Cercozoa	
merged_18S_2256	Eukaryota	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbiliaceae	
merged_18S_2262	Eukaryota	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Bradymyces	
merged_18S_2272	Eukaryota	Bacillariophyta	Fragilariophyceae	Rhabdonematales	Rhabdonemataceae	Rhabdonema	
merged_18S_2274	Eukaryota	Chytridiomycota	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	Chytridiomycetes	
merged_18S_2275	Eukaryota	Ascomycota	Lecanoromycetes	Umbilicariales	Umbilicariaceae	Umbilicaria	
merged_18S_2278	Eukaryota	Ascomycota	Dothideomycetes	Dothideomycetes	Dothideomycetes	Dothideomycetes	
merged_18S_2282	Eukaryota	Nematoda	Chromadorea	Rhabditida	Anguinidae	Anguinidae	
merged_18S_2283	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2298	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	Allomyces	
merged_18S_2304	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2332	Eukaryota	Nematoda	Chromadorea	Rhabditida	Telotylenchidae	Tylenchorhynchus	
merged_18S_2348	Eukaryota	Basidiomycota	Exobasidiomycetes	Georgefischeriales	Gjaerumiaceae	Gjaerumia	
merged_18S_2351	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellaceae	Chlorellaceae	
merged_18S_2367	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	Eukaryota	
merged_18S_2369	Eukaryota	Chlorophyta	Chlorophyceae	Chaetophorales	Barrancaceae	Barranca	
merged_18S_2379	Eukaryota	Cercozoa	Thecofilosea	Thecofilosea	Thecofilosea	Thecofilosea	
