ITS_seq_number	Kingdom	Phylum	Class	Order	Family	Genus	Species
reverse_FUN_ITS_1227	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	Botryotrichum murorum
reverse_FUN_ITS_1228	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Chaetomium subspirale
reverse_FUN_ITS_1229	Eukaryota	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	Chaetomium subspirale
reverse_FUN_ITS_1247	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	Dactylonectria ecuadoriensis
reverse_FUN_ITS_1248	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocarpon	Ilyonectria sp. M64
reverse_FUN_ITS_1249	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	Dactylonectria ecuadoriensis
reverse_FUN_ITS_1250	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neonectria	Dactylonectria ecuadoriensis
reverse_FUN_ITS_1251	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Schizoparmaceae	Coniella	Coniella pseudogranati
reverse_FUN_ITS_1252	Eukaryota	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neocatenulostroma	Neocatenulostroma microsporum
reverse_FUN_ITS_1253	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria pauciseptata
reverse_FUN_ITS_1254	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Cylindrocladiella	Cylindrocladiella peruviana
reverse_FUN_ITS_1255	Eukaryota	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans
reverse_FUN_ITS_1256	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1257	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1258	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
reverse_FUN_ITS_1259	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria macrodidyma
