numsampled	0.03-FUN_ITS_1_10_S10_L001	lci-FUN_ITS_1_10_S10_L001	hci-FUN_ITS_1_10_S10_L001	0.03-FUN_ITS_1_15_S15_L001	lci-FUN_ITS_1_15_S15_L001	hci-FUN_ITS_1_15_S15_L001	0.03-FUN_ITS_1_1_S1_L001	lci-FUN_ITS_1_1_S1_L001	hci-FUN_ITS_1_1_S1_L001	0.03-FUN_ITS_1_20_S20_L001	lci-FUN_ITS_1_20_S20_L001	hci-FUN_ITS_1_20_S20_L001	0.03-FUN_ITS_1_23_S23_L001	lci-FUN_ITS_1_23_S23_L001	hci-FUN_ITS_1_23_S23_L001	0.03-FUN_ITS_1_25_S25_L001	lci-FUN_ITS_1_25_S25_L001	hci-FUN_ITS_1_25_S25_L001	0.03-FUN_ITS_1_28_S28_L001	lci-FUN_ITS_1_28_S28_L001	hci-FUN_ITS_1_28_S28_L001	0.03-FUN_ITS_1_30_S30_L001	lci-FUN_ITS_1_30_S30_L001	hci-FUN_ITS_1_30_S30_L001	0.03-FUN_ITS_1_31_S31_L001	lci-FUN_ITS_1_31_S31_L001	hci-FUN_ITS_1_31_S31_L001	0.03-FUN_ITS_1_33_S33_L001	lci-FUN_ITS_1_33_S33_L001	hci-FUN_ITS_1_33_S33_L001	0.03-FUN_ITS_1_35_S35_L001	lci-FUN_ITS_1_35_S35_L001	hci-FUN_ITS_1_35_S35_L001	0.03-FUN_ITS_1_3_S3_L001	lci-FUN_ITS_1_3_S3_L001	hci-FUN_ITS_1_3_S3_L001	0.03-FUN_ITS_1_40_S40_L001	lci-FUN_ITS_1_40_S40_L001	hci-FUN_ITS_1_40_S40_L001	0.03-FUN_ITS_1_47_S47_L001	lci-FUN_ITS_1_47_S47_L001	hci-FUN_ITS_1_47_S47_L001	0.03-FUN_ITS_1_51_S51_L001	lci-FUN_ITS_1_51_S51_L001	hci-FUN_ITS_1_51_S51_L001	0.03-FUN_ITS_1_56_S56_L001	lci-FUN_ITS_1_56_S56_L001	hci-FUN_ITS_1_56_S56_L001	0.03-FUN_ITS_1_57_S57_L001	lci-FUN_ITS_1_57_S57_L001	hci-FUN_ITS_1_57_S57_L001	0.03-FUN_ITS_1_58_S58_L001	lci-FUN_ITS_1_58_S58_L001	hci-FUN_ITS_1_58_S58_L001	0.03-FUN_ITS_1_59_S59_L001	lci-FUN_ITS_1_59_S59_L001	hci-FUN_ITS_1_59_S59_L001	0.03-FUN_ITS_1_5_S5_L001	lci-FUN_ITS_1_5_S5_L001	hci-FUN_ITS_1_5_S5_L001
337	16.756000	16.000000	17.000000	25.548000	24.000000	26.000000	24.504000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.940000	1.000000	2.000000	20.836000	20.000000	21.000000	25.436000	24.000000	26.000000	11.000000	11.000000	11.000000	13.768000	13.000000	14.000000	17.780000	17.000000	18.000000	16.780000	16.000000	17.000000	39.492000	38.000000	40.000000	40.640000	38.000000	42.000000	30.840000	28.000000	32.000000	32.336000	31.000000	33.000000	21.768000	21.000000	22.000000
338	16.768000	16.000000	17.000000	25.560000	24.000000	26.000000	24.516000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.940000	1.000000	2.000000	20.852000	20.000000	21.000000	25.448000	24.000000	26.000000	11.000000	11.000000	11.000000	13.780000	13.000000	14.000000	17.792000	17.000000	18.000000	16.792000	16.000000	17.000000	39.508000	38.000000	40.000000	40.692000	38.000000	42.000000	30.892000	29.000000	32.000000	32.356000	31.000000	33.000000	21.780000	21.000000	22.000000
339	16.780000	16.000000	17.000000	25.576000	24.000000	26.000000	24.532000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.944000	1.000000	2.000000	20.864000	20.000000	21.000000	25.464000	24.000000	26.000000	11.000000	11.000000	11.000000	13.788000	13.000000	14.000000	17.796000	17.000000	18.000000	16.796000	16.000000	17.000000	39.524000	38.000000	40.000000	40.736000	38.000000	42.000000	30.936000	29.000000	32.000000	32.380000	31.000000	33.000000	21.788000	21.000000	22.000000
340	16.792000	16.000000	17.000000	25.608000	24.000000	26.000000	24.552000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.944000	1.000000	2.000000	20.872000	20.000000	21.000000	25.492000	24.000000	26.000000	11.000000	11.000000	11.000000	13.796000	13.000000	14.000000	17.804000	17.000000	18.000000	16.804000	16.000000	17.000000	39.544000	38.000000	40.000000	40.804000	39.000000	42.000000	30.992000	29.000000	32.000000	32.408000	31.000000	33.000000	21.796000	21.000000	22.000000
341	16.796000	16.000000	17.000000	25.628000	24.000000	26.000000	24.568000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.944000	1.000000	2.000000	20.876000	20.000000	21.000000	25.508000	24.000000	26.000000	11.000000	11.000000	11.000000	13.800000	13.000000	14.000000	17.808000	17.000000	18.000000	16.808000	16.000000	17.000000	39.560000	38.000000	40.000000	40.836000	39.000000	42.000000	31.020000	29.000000	32.000000	32.424000	31.000000	33.000000	21.800000	21.000000	22.000000
342	16.812000	16.000000	17.000000	25.656000	24.000000	26.000000	24.596000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.948000	1.000000	2.000000	20.884000	20.000000	21.000000	25.536000	24.000000	26.000000	11.000000	11.000000	11.000000	13.812000	13.000000	14.000000	17.816000	17.000000	18.000000	16.816000	16.000000	17.000000	39.588000	38.000000	40.000000	40.892000	39.000000	42.000000	31.072000	29.000000	32.000000	32.464000	31.000000	33.000000	21.812000	21.000000	22.000000
343	16.812000	16.000000	17.000000	25.668000	24.000000	26.000000	24.600000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.948000	1.000000	2.000000	20.884000	20.000000	21.000000	25.544000	24.000000	26.000000	11.000000	11.000000	11.000000	13.812000	13.000000	14.000000	17.816000	17.000000	18.000000	16.816000	16.000000	17.000000	39.592000	38.000000	40.000000	40.920000	39.000000	42.000000	31.096000	29.000000	32.000000	32.476000	31.000000	33.000000	21.812000	21.000000	22.000000
344	16.824000	16.000000	17.000000	25.696000	24.000000	26.000000	24.628000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.952000	1.000000	2.000000	20.888000	20.000000	21.000000	25.572000	24.000000	26.000000	11.000000	11.000000	11.000000	13.824000	13.000000	14.000000	17.824000	17.000000	18.000000	16.824000	16.000000	17.000000	39.620000	38.000000	40.000000	40.960000	39.000000	42.000000	31.132000	29.000000	32.000000	32.508000	31.000000	33.000000	21.824000	21.000000	22.000000
345	16.832000	16.000000	17.000000	25.708000	24.000000	26.000000	24.636000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.956000	1.000000	2.000000	20.896000	20.000000	21.000000	25.580000	24.000000	26.000000	11.000000	11.000000	11.000000	13.832000	13.000000	14.000000	17.832000	17.000000	18.000000	16.832000	16.000000	17.000000	39.628000	38.000000	40.000000	40.988000	39.000000	42.000000	31.152000	29.000000	32.000000	32.516000	31.000000	33.000000	21.832000	21.000000	22.000000
346	16.836000	16.000000	17.000000	25.728000	24.000000	26.000000	24.648000	23.000000	25.000000	15.000000	15.000000	15.000000	2.000000	2.000000	2.000000	15.000000	15.000000	15.000000	4.000000	4.000000	4.000000	8.000000	8.000000	8.000000	1.960000	1.000000	2.000000	20.904000	20.000000	21.000000	25.592000	24.000000	26.000000	11.000000	11.000000	11.000000	13.836000	13.000000	14.000000	17.836000	17.000000	18.000000	16.836000	16.000000	17.000000	39.644000	38.000000	40.000000	41.032000	39.000000	42.000000	31.192000	29.000000	32.000000	32.532000	31.000000	33.000000	21.836000	21.000000	22.000000
