depth	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	3.05-4.60	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	6	0.15-1.5	0.15-1.5	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	0.15-1.5	3.05-4.60	0.15-1.5	6	0.15-1.5	0.15-1.5	3.05-4.60	3.05-4.60	6	0.15-1.5	3.05-4.60	3.05-4.60	6
Betaproteobacteria	0.060163118	0.025528507	0.007748317	0.003362141	0.009369819	0.02450501	0.016637344	0.009666715	0.01956386	0.041864125	0.006126021	0.005144427	0.015320143	0.015120871	0.013869945	0.04662406	0.013176649	0.009364219	0.006502455	0.00394948	0.007130523	6.31098E-05	0.019590462	0.036755269	0.018442623	0	0.009351653	0.001973544	0.046009169	0.005835541	0.015639798	0.002049835	0.006943904	0.019707869	0.010321045	1.83925E-05	0.046456467	0	0.008863929	0.00195661	0.013892225	0.031324357	0.006238894	0	0.030255057	0.010196777	0.010195157	0.010228315	0.013878245	0	0.003686539	0.033481616	0.038465229	0.00812981	0.018320145
Blastococcus	0.007970554	0.00931032	0	0	0.000478506	8.35778E-06	0.021549322	0.000447266	0	3.5766E-05	0	0	0.01930535	4.17012E-06	0.0004513	0.000165368	0.000310411	0.020218733	0	0	0	0	0	0.003151918	0.000343055	0	0.031825377	0	0.0066973	0	0.000295171	6.94859E-06	0	0	0.01054734	0	0.004517928	0.000944109	0.000331492	0.0004307	0.000126161	0.013444373	0	0	0.008748168	0.001376703	0.027001303	0.010016694	0	1.82342E-05	0.014510464	0.002051748	0.000724113	0.000467742	0
Bradyrhizobium	0.001707976	0.004863503	1.41565E-05	2.15522E-05	0.000261509	0	0.000754008	0	0.000279366	0.000608022	1.53534E-05	0	0.000659207	0.00067139	0	0	0	0.002675491	0	0	0	0.001035001	0	0.002402439	0.000640369	3.54083E-05	0.002140053	0	0.006258659	0	0.000777212	0.00311297	3.38232E-06	0	0.010724441	0.00161854	0.000356221	0	0	0	0	0.003349059	0	0	0.002157725	0.001785124	0.003189738	0.000681888	0	0	0.001450022	0	0.006342532	0.000211598	0.001377115
Brevitalea	0.053238534	0.008320692	8.96577E-05	0	0.000500762	0.006778159	0	0.003924398	0.004231578	0.003916379	0.000184241	0	0.001267047	0.000604668	0.001373957	0.003686735	0.001963828	0.001255603	0.000979674	0	0	0.003130246	0.000620512	0.000944549	0.002213847	0	0.000189946	0.002666951	0.034615199	0.001682492	0.004743966	0.004606918	0.00103499	0.000658235	0.023456025	0.008911164	0.000330156	0	0.000245137	0	0.002173844	0.000391984	0	1.43152E-05	0.024532395	0	0.003206887	0.000799454	0.003604272	0	0	0.002505674	0.013269588	0.001102536	0.001049768
Brevundimonas	0.001138651	0.00684927	0.000405819	0	0.000339406	0.000718769	0.003655298	0	9.03832E-05	0.001108747	0	0	0.001750751	0.000871556	0.00619785	0	0	0.001595907	0.001216519	0	0	0	0	0.00081108	0	3.54083E-05	0.002728884	0	0.002631846	0.001624475	0.000590341	0	0	0.000297773	0.002902486	0	0.002997472	0	0.000292493	0	0.000623525	0.003761674	6.76041E-05	0	0.003447669	0.003680385	0.002237961	0	0	0	0.002139166	0	0	0	0
Burkholderiaceae	0.001204851	0.001712318	4.71883E-06	0	0	0	0.003371179	0	0	0	0	0	0.002465606	4.17012E-06	0.000170491	0	0	0.007052501	1.07657E-05	0	0.002166826	0.000984513	2.5327E-05	0.003593392	0.000100629	0	0.002893504	0	0.000839837	0	2.12353E-06	0	0	0	0.000865826	0.001075961	0.001928808	0.004456193	0	0	2.42617E-06	0.00274389	3.21924E-06	0	0.005605394	0	0.004493072	0.000493781	0	1.82342E-05	0.000876161	0	0	0	0
Caldilineales	0.009612329	0.01268938	0.00028313	0.000129313	0.001980793	0.002039298	0.016467966	0.000288559	0.000920266	0.000608022	0.001412516	3.1953E-05	0.009023432	0.002256037	0.002096037	0.00071011	0.002489627	0.013506536	0.002616054	0.005491256	0.00426698	0.000391281	0.002114807	0.011847928	0.001015442	0	0.01109282	0.003627054	0.005151358	0.000899263	0.000747483	0.002195756	0.004336135	0.005148338	0.005490127	0	0.011251379	0	0.002309302	0	0.004211824	0.002998336	6.43849E-06	0	0.016452653	0.007512207	0.009037591	0.001058102	0	0	0	0.000290513	0.000549628	0.001603688	0.001219085
Cand Kuenenia	0.000225082	3.90643E-05	0.004454574	0	0.009636892	0.003217745	0.000147523	0.004414947	0.010648787	0.001931365	0.010977707	0	0	0.010675518	0.010119143	0.005427963	0.011618257	1.17346E-05	0.012175954	0.01072907	0.003413584	0.006298358	0.007522129	0.000297738	0.0063488	0	0.002051412	0.0043738	0.000780995	0.0072908	0.005111337	0.002452854	0.008401684	0.006315921	0.001426646	0.002161118	0.000251961	0	0.011596649	1.23057E-05	0.010056457	0.001340999	9.65773E-06	0	0.000973322	0.005341606	0.001260461	0.008112112	0.013411246	0	0.001140035	0.007444394	0.013182346	0.009766908	0.008093373
Cand Nitrosotalea	0	0	0.058857949	0.041875902	0.073801231	0.065784085	0	0.071158563	0.048231775	0.045208248	0.030983234	6.39059E-05	4.28057E-06	0.034057406	0.031370347	0.029454966	0.045015996	1.17346E-05	0.053063905	0.044246853	0.026411937	0.013682204	0.058796713	1.02668E-05	0.02763649	0	0.018507028	0.016108385	0	0.002538243	0.015656787	0.012076657	0.023730361	0.029189587	0	0.001784072	0	1.88822E-05	0.033511336	0	0.014394441	6.87692E-06	0.013977955	1.43152E-05	0.000164175	0.005483865	0	0.008723459	0.030091484	1.82342E-05	0	0.032265093	0.024087661	0.090474759	0.057443758
Cand_Methylomirabilis	0	0	0.028407348	0.002887993	0.061755116	0.074183654	1.09276E-05	0.081113836	0.029078748	0.057636939	0.057345084	0	0	0.042835518	0.069871229	0.064230893	0.03810459	0	0.065121437	0.050181634	0.024778484	0.04309137	0.128800638	0	0.07246231	0	0.009161707	0.015041604	5.34928E-06	0.013445435	0.027790637	0.021492002	0.030589708	0.076175028	0.028660822	0.031147692	0	0.000302115	0.0350323	0	0.051827752	0.000336969	0.010568776	0	0	0.02550112	0.003206887	0.046062687	0.022152505	0	0	0.057485247	0.044022578	0.061964741	0.087198474
