sample_tube,sample_code,core,SRA_name,16S_SampleID,18S_SampleID,fITS_SampleID,sample_depth,sample_type,contam_type,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Chromium_VI,Cobalt,Copper,Lead,Mercury,Molybdenum,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc,TPH_d,TPH_mo,TPH_g,Acenaphthene,Acenaphthylene,Anthracene,Benz_a_anthracene,Benzo_a_pyrene,Benzo_b_fluoranthene,Benzo_ghi_perylene,Benzo_k_fluoranthene,Chrysene,Dibenz_ah_anthracene,Fluoranthene,Fluorene,Indeno_123-cd_pyrene,Naphthalene,Phenanthrene,Pyrene
14,B3-20,B3,S_1_14,X16S_1_14_S14_L001,X18S_1_14_S14_L001,FUN_ITS_1_14_S14_L001,6.1,sample,not_contaminated,<2,<2,110,<0.5,<0.5,15,NA,9.8,14,2.9,<0.1,<1,9.8,<4.8,<0.5,<2,39,48,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
15,B4-0,B4,S_1_15,X16S_1_15_S15_L001,X18S_1_15_S15_L001,FUN_ITS_1_15_S15_L001,0.15,sample,contaminated,<2,4.1,130,<0.5,<0.5,13,NA,8.3,18,14,0.12,<1,12,<4.8,<0.5,<2,33,58,120,480,<0.2,<80,<80,<80,<80,<80,<80,<80,<80,<80,<96,7400,<80,4600,<80,<80,1800
16,B4-5,B4,S_1_16,X16S_1_16_S16_L001,X18S_1_16_S16_L001,FUN_ITS_1_16_S16_L001,1.52,sample,not_contaminated,<2,<2,73,<0.5,<0.5,11,NA,7,10,3.6,<0.1,<1,6.9,<4.8,<0.5,<2,29,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
17,B4-10,B4,S_1_17,X16S_1_17_S17_L001,X18S_1_17_S17_L001,FUN_ITS_1_17_S17_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,B4-15,B4,S_1_18,X16S_1_18_S18_L001,X18S_1_18_S18_L001,FUN_ITS_1_18_S18_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,B4-20,B4,S_1_19,X16S_1_19_S19_L001,X18S_1_19_S19_L001,FUN_ITS_1_19_S19_L001,6.1,sample,not_contaminated,<2,<2,56,<0.5,<0.5,7.8,NA,4.7,5,1.6,<0.1,<1,4.2,<4.8,<0.5,<2,22,21,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
20,B5-0,B5,S_1_20,X16S_1_20_S20_L001,X18S_1_20_S20_L001,FUN_ITS_1_20_S20_L001,0.15,sample,contaminated,<2,4.3,120,<0.5,0.59,17,NA,7.1,120,39,<0.1,1.2,11,<4.8,<0.5,<2,34,74,320,770,<0.2,6300,<120,40000,190000,<120,140000,66000,46000,<120,<140,<160,10000,62000,<120,98000,160000
21,B5-5,B5,S_1_21,X16S_1_21_S21_L001,X18S_1_21_S21_L001,FUN_ITS_1_21_S21_L001,1.52,sample,not_contaminated,<2,<2,56,<0.5,<0.5,9.1,NA,5.9,8.6,4.1,<0.1,<1,5.6,<4.8,<0.5,<2,27,32,<10,<50,<0.2,<40,<40,<40,<40,<40,<40,<40,<40,<40,<48,<52,<40,<40,<40,<40,<52
22,B5-10,B5,S_1_22,X16S_1_22_S22_L001,X18S_1_22_S22_L001,FUN_ITS_1_22_S22_L001,3.05,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,B5-15,B5,S_1_23,X16S_1_23_S23_L001,X18S_1_23_S23_L001,FUN_ITS_1_23_S23_L001,4.6,sample,not_contaminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,<0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
